                                       
                                                       
   AABBBBCCDDAABB       DDAABBBBCCDDAA 
   AABBBBCCDDAABB       DDAABBBBCCDDAA 
   AABBBBCCDDAABB       DDAABBBBCCDDAA 
                                       
                                       
   AABBBBCCDDAABB       DDAABBBBCCDDAA 
   AABBBBCCDDAABB       DDAABBBBCCDDAA 
   AABBBBCCDDAABB       DDAABBBBCCDDAA 
                                       
                                       
   AABBBBCCDDAABB       DDAABBBBCCDDAA 
   AABBBBCCDDAABB       DDAABBBBCCDDAA 
   AABBBBCCDDAABB       DDAABBBBCCDDAA 
                                       
                                       
    AABBBBE                  ECCDDAA   
    AABBBBE #              # ECCDDAA   
    AABBBBE #              # ECCDDAA   
    AABBBBE #              # ECCDDAA   
             #            #            
              #          #             
###############          ##############
###############          ##############
